Issue Type,Summary,Description,Epic Name,Epic Link
Epic,AI Code Assistant,,AI Code Assistant,
Epic,Auth,,Auth,
Epic,Execution,,Execution,
Epic,Infrastructure & Security,,Infrastructure & Security,
Epic,Real-Time Editing,,Real-Time Editing,
Epic,Rooms & Roles,,Rooms & Roles,
Story,FR-01: User Registration,"The system must allow a new user to register with a unique email address, a display name, and a password of at least 8 characters containing at least one uppercase letter, one lowercase letter, one digit, and one special character. The password must be hashed with bcrypt (cost factor ≥ 12) before storage. A verification email must be sent to confirm the email address before the account is activated.

Priority: High | Target: Semester 1",,Auth
Story,FR-02: User Login with Access and Refresh Tokens,"On successful login with verified credentials, the system must issue two tokens: a short-lived JWT access token (expiry: 15 minutes) and a long-lived refresh token (expiry: 7 days) stored as an HTTP-only, Secure, SameSite=Strict cookie. The access token must be stored only in memory on the client (never in localStorage or sessionStorage). The refresh token must be stored in the database and tied to the user's device/session.

Priority: High | Target: Semester 1",,Auth
Story,FR-03: Silent Token Refresh,"Before the access token expires, the client must silently call a `/auth/refresh` endpoint using the HTTP-only refresh token cookie to obtain a new access token. If the refresh token is expired or revoked, the user must be redirected to the login page. This must happen without any visible interruption to the user's session.

Priority: High | Target: Semester 1",,Auth
Story,FR-04: Refresh Token Rotation,"Every time the `/auth/refresh` endpoint is called successfully, the server must invalidate the current refresh token and issue a new one (rotation). If a refresh token that has already been rotated is presented (replay attack), the server must immediately invalidate the entire refresh token family for that user and force a full re-login.

Priority: High | Target: Semester 1",,Auth
Story,FR-05: Brute Force and Rate Limit Protection,"Login attempts must be rate-limited per IP address and per email address. After 5 consecutive failed login attempts for a given email within 10 minutes, the account must be temporarily locked for 15 minutes. The user must be notified by email. After 20 failed attempts across any accounts from a single IP within 10 minutes, that IP must be blocked for 1 hour.

Priority: High | Target: Semester 1",,Auth
Story,FR-06: Logout and Session Revocation,"On logout, the server must immediately invalidate the user's current refresh token in the database. The client must discard the in-memory access token. The server must also clear the HTTP-only cookie. Logging out on one device must not affect sessions on other devices unless the user selects ""Log out of all devices.""

Priority: High | Target: Semester 1",,Auth
Story,FR-07: Active Session Management,"Users must be able to view all active sessions (device name, IP address, last active time, approximate location). They must be able to revoke any individual session or all sessions except the current one. Each session must correspond to one refresh token entry in the database.

Priority: Medium | Target: Semester 2",,Auth
Story,FR-08: User Profile,"Each user must have a profile containing their display name, avatar color, email address, and a list of rooms they own or have joined. Users must be able to update their display name and avatar color. Email changes must require re-verification.

Priority: Medium | Target: Semester 2",,Auth
Story,FR-09: Password Reset,"Users must be able to request a password reset via email. The system must send a time-limited (30 minutes), single-use signed reset link. After a successful reset, all existing refresh tokens for that user must be invalidated.

Priority: High | Target: Semester 1",,Auth
Story,FR-10: Create Room,"An authenticated user must be able to create a new coding room by providing a room name. The system must generate a unique, non-guessable room ID (UUID v4) and a shareable invite link. The creator is automatically assigned the Owner role.

Priority: High | Target: Semester 1",,Rooms & Roles
Story,FR-11: Join Room via Invite Link,"A user must be able to join a room via its invite link. They must be authenticated before entry is permitted — guest access without login is not allowed. On joining, they are assigned the Viewer role by default unless pre-approved by the Owner or Room Leader.

Priority: High | Target: Semester 1",,Rooms & Roles
Story,FR-12: Role Hierarchy,"Each room must enforce the following role hierarchy from highest to lowest authority:
| Role | Description |
|---|---|
| Owner | Created the room. Full control. Can assign/remove Room Leader. Cannot be removed. |
| Room Leader | Designated by Owner. Controls live editor access for all participants. Can grant/revoke Editor access. Can mute participants in voice. |
| Editor | Has active write access to the editor and can participate in voice/chat. |
| Viewer | Read-only access to the editor. Can participate in chat and voice (listen only unless granted speak access). |

Priority: High | Target: Semester 1",,Rooms & Roles
Story,FR-13: Room Persistence,"Room content (files, code, chat history, participant roles) must be persisted in MongoDB so users can leave and return to find their work and role assignments intact.

Priority: High | Target: Semester 1",,Rooms & Roles
